Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.92300033569336,deg F,,,Final,,Actual,,,2017-03-26,PST,20:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.83000183105469,deg F,,,Final,,Actual,,,2017-03-26,PST,22:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.3650016784668,deg F,,,Final,,Actual,,,2017-03-27,PST,00:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.61899948120117,deg F,,,Final,,Actual,,,2017-03-27,PST,02:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.77799987792969,deg F,,,Final,,Actual,,,2017-03-27,PST,04:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.12200164794922,deg F,,,Final,,Actual,,,2017-03-27,PST,06:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,51.65299987792969,deg F,,,Final,,Actual,,,2017-03-27,PST,08:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.310001373291016,deg F,,,Final,,Actual,,,2017-03-27,PST,10:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.01599884033203,deg F,,,Final,,Actual,,,2017-03-27,PST,12:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,58.064998626708984,deg F,,,Final,,Actual,,,2017-03-27,PST,14:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,59.62300109863281,deg F,,,Final,,Actual,,,2017-03-27,PST,16:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,58.52399826049805,deg F,,,Final,,Actual,,,2017-03-27,PST,18:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.573001861572266,deg F,,,Final,,Actual,,,2017-03-27,PST,20:00:00,,,,
RCS,VY1,VY1:20170327:Water:FM,Field Msr/Obs,Water,2017-03-27,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.805999755859375,deg F,,,Final,,Actual,,,2017-03-27,PST,22:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.590999603271484,deg F,,,Final,,Actual,,,2017-03-28,PST,00:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.40299987792969,deg F,,,Final,,Actual,,,2017-03-28,PST,02:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,51.74700164794922,deg F,,,Final,,Actual,,,2017-03-28,PST,04:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,51.2760009765625,deg F,,,Final,,Actual,,,2017-03-28,PST,06:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,50.617000579833984,deg F,,,Final,,Actual,,,2017-03-28,PST,08:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,51.933998107910156,deg F,,,Final,,Actual,,,2017-03-28,PST,10:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.94300079345703,deg F,,,Final,,Actual,,,2017-03-28,PST,12:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,60.17100143432617,deg F,,,Final,,Actual,,,2017-03-28,PST,14:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,62.80699920654297,deg F,,,Final,,Actual,,,2017-03-28,PST,16:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,62.082000732421875,deg F,,,Final,,Actual,,,2017-03-28,PST,18:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,57.972999572753906,deg F,,,Final,,Actual,,,2017-03-28,PST,20:00:00,,,,
RCS,VY1,VY1:20170328:Water:FM,Field Msr/Obs,Water,2017-03-28,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.849998474121094,deg F,,,Final,,Actual,,,2017-03-28,PST,22:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.83000183105469,deg F,,,Final,,Actual,,,2017-03-29,PST,00:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.27199935913086,deg F,,,Final,,Actual,,,2017-03-29,PST,02:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.43299865722656,deg F,,,Final,,Actual,,,2017-03-29,PST,04:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.77799987792969,deg F,,,Final,,Actual,,,2017-03-29,PST,06:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.310001373291016,deg F,,,Final,,Actual,,,2017-03-29,PST,08:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.27199935913086,deg F,,,Final,,Actual,,,2017-03-29,PST,10:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,58.52399826049805,deg F,,,Final,,Actual,,,2017-03-29,PST,12:00:00,,,,
RCS,VY1,VY1:20170329:Water:FM,Field Msr/Obs,Water,2017-03-29,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,63.25899887084961,deg F,,,Final,,Actual,,,2017-03-29,PST,14:00:00,,,,
